ticker,편입일수,가격있는편입일수,복원율,가격첫날,가격마지막날,편입첫날,편입마지막날,분류
FTR,1382,0,0.0,,,2011-09-21,2017-03-17,가격 없음
GAS,1202,0,0.0,,,2011-09-21,2016-06-30,가격 없음
GGP,1188,0,0.0,,,2013-12-10,2018-08-27,가격 없음
GHC,754,754,1.0,2011-09-21,2026-09-21,2011-09-21,2014-09-19,복원
GMCR,491,0,0.0,,,2014-03-24,2016-03-02,가격 없음
GME,1155,1154,0.9991341991341991,2011-09-21,2026-09-21,2011-09-21,2016-04-22,복원
GNW,1047,1047,1.0,2011-09-21,2026-09-21,2011-09-21,2015-11-17,복원
GPS,2610,0,0.0,,,2011-09-21,2022-02-01,가격 없음
GR,214,0,0.0,,,2011-09-21,2012-07-26,가격 없음
GT,1870,1869,0.9994652406417113,2011-09-21,2026-09-21,2011-09-21,2019-02-26,복원
HAR,1377,0,0.0,,,2011-09-21,2017-03-10,가격 없음
HBI,1701,0,0.0,,,2015-03-23,2021-12-17,가격 없음
HCBK,1035,0,0.0,,,2011-09-21,2015-10-30,가격 없음
HCP,2045,0,0.0,,,2011-09-21,2019-11-04,가격 없음
HES,3483,0,0.0,,,2011-09-21,2025-07-22,가격 없음
HFC,746,0,0.0,,,2018-06-18,2021-06-03,가격 없음
HNZ,429,0,0.0,,,2011-09-21,2013-06-06,가격 없음
HOG,2202,2201,0.9995458673932789,2011-09-21,2026-09-21,2011-09-21,2020-06-19,복원
HOLX,2525,0,0.0,,,2016-03-30,2026-04-08,가격 없음
HONA,60,59,0.9833333333333333,2026-06-15,2026-09-21,2026-06-29,2026-09-21,복원
HOT,1261,0,0.0,,,2011-09-21,2016-09-22,가격 없음
HP,2182,2181,0.9995417048579285,2011-09-21,2026-09-21,2011-09-21,2020-05-21,복원
HRB,2265,2264,0.9995584988962473,2011-09-21,2026-09-21,2011-09-21,2020-09-18,복원
HRS,1936,0,0.0,,,2011-09-21,2019-05-31,가격 없음
HSH,195,0,0.0,,,2011-09-21,2012-06-28,가격 없음
HSP,994,0,0.0,,,2011-09-21,2015-09-02,가격 없음
IGT,690,0,0.0,,,2011-09-21,2014-06-19,가격 없음
ILMN,2162,2160,0.9990749306197965,2011-09-21,2026-09-21,2015-11-19,2024-06-21,복원
INFO,1195,0,0.0,2024-10-10,2026-09-21,2017-06-02,2022-03-01,재사용 의심
IPG,3573,0,0.0,,,2011-09-21,2025-11-26,가격 없음
IPGP,1080,1080,1.0,2011-09-21,2026-09-21,2018-03-07,2022-06-17,복원
ITT,29,29,1.0,2011-09-21,2026-09-21,2011-09-21,2011-10-31,복원
JCP,552,0,0.0,,,2011-09-21,2013-11-29,가격 없음
JEC,2069,0,0.0,,,2011-09-21,2019-12-09,가격 없음
JEF,2017,2016,0.9995042141794744,2011-09-21,2026-09-21,2011-09-21,2019-09-25,복원
JNPR,3473,0,0.0,,,2011-09-21,2025-07-08,가격 없음
